"Gene_Symbol","Discovery_Pipeline"
"CMYA5","ChAMP + Minfi Overlap"
"NKAIN3","ChAMP + Minfi Overlap"
"HKR1","ChAMP + Minfi Overlap"
"RFTN2","ChAMP + Minfi Overlap"
"TTC23","ChAMP + Minfi Overlap"
"DNAH1","ChAMP + Minfi Overlap"
"HDAC4","ChAMP + Minfi Overlap"
"GSTT1","ChAMP + Minfi Overlap"
"TCP11L1","ChAMP + Minfi Overlap"
"ZADH2","ChAMP + Minfi Overlap"
"CTNNA2","ChAMP + Minfi Overlap"
"YTHDC1","ChAMP + Minfi Overlap"
"KLHL23","ChAMP + Minfi Overlap"
"PITPNC1","ChAMP + Minfi Overlap"
"TULP2","ChAMP + Minfi Overlap"
"FOXK1","ChAMP + Minfi Overlap"
"SH3BP2","ChAMP + Minfi Overlap"
"NR5A2","ChAMP + Minfi Overlap"
"RCVRN","ChAMP + Minfi Overlap"
"PACS2","ChAMP + Minfi Overlap"
"JPH3","ChAMP + Minfi Overlap"
"RFPL2","ChAMP + Minfi Overlap"
"FAM160B1","ChAMP + Minfi Overlap"
"RAP1GAP2","ChAMP + Minfi Overlap"
"NRXN1","ChAMP + Minfi Overlap"
"NCL","ChAMP + Minfi Overlap"
"GRAMD4","ChAMP + Minfi Overlap"
"UPF1","ChAMP + Minfi Overlap"
"BOK","ChAMP + Minfi Overlap"
"CXXC5","ChAMP + Minfi Overlap"
"AGRN","ChAMP + Minfi Overlap"
"KLC3","ChAMP + Minfi Overlap"
"MSI2","ChAMP + Minfi Overlap"
"SLC23A2","ChAMP + Minfi Overlap"
"MAD1L1","ChAMP + Minfi Overlap"
"PCDHA7","ChAMP + Minfi Overlap"
"CAV1","ChAMP + Minfi Overlap"
"PTPRN2","ChAMP + Minfi Overlap"
"CCDC124","ChAMP + Minfi Overlap"
"SNTG2","ChAMP + Minfi Overlap"
"DSE","ChAMP + Minfi Overlap"
"DOCK1","ChAMP + Minfi Overlap"
"LGALS8","ChAMP + Minfi Overlap"
